Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,,ISIN,Bolsa de valores,Ubicación,Moneda,Mercado de divisas,Tipo de Cambio
AMXL.MX,AMERICA MOVIL L,Equity,13.7,15.69,"634,706,362.00","9,958,542,819.78","9,958,542,819.78",Comunicación,2667470,MXP001691213,Bolsa Mexicana De Valores,México,MXN,MXN,1
FEMSAUBD.MX,FOMENTO ECONOMICO MEXICANO,Equity,11.85,170.37,"50,554,056.00","8,612,894,520.72","8,612,894,520.72",Productos básicos de consumo,2242059,MXP320321310,Bolsa Mexicana De Valores,México,MXN,MXN,1
GFNORTEO.MX,GPO FINANCE BANORTE,Equity,10.64,116.09,"66,664,611.00","7,739,094,690.99","7,739,094,690.99",Financieros,2421041,MXP370711014,Bolsa Mexicana De Valores,México,MXN,MXN,1
WALMEX.MX,WALMART DE MEXICO V,Equity,10.39,54.85,"137,735,088.00","7,554,769,576.80","7,554,769,576.80",Productos básicos de consumo,BW1YVH8,MX01WA000038,Bolsa Mexicana De Valores,México,MXN,MXN,1
GMEXICOB.MX,GRUPO MEXICO B,Equity,6.03,50.46,"86,818,080.00","4,380,840,316.80","4,380,840,316.80",Materiales,2643674,MXP370841019,Bolsa Mexicana De Valores,México,MXN,MXN,1
CEMEXCPO.MX,CEMEX CPO,Equity,4.3,7.6,"411,737,485.00","3,129,204,886.00","3,129,204,886.00",Materiales,2406457,MXP225611567,Bolsa Mexicana De Valores,México,MXN,MXN,1
TLEVISACPO.MX,GRUPO TELEVISA,Equity,3.96,41.83,"68,818,731.00","2,878,687,517.73","2,878,687,517.73",Comunicación,2380108,MXP4987V1378,Bolsa Mexicana De Valores,México,MXN,MXN,1
GAPB.MX,GRUPO AEROPORTUARIO DEL PACIFICO,Equity,3.29,233.54,"10,246,476.00","2,392,962,005.04","2,392,962,005.04",Industriales,B0ZV104,MX01GA000004,Bolsa Mexicana De Valores,México,MXN,MXN,1
ELEKTRA.MX,GRUPO ELEKTRA,Equity,3.02,"1,383.14","1,586,746.00","2,194,691,862.44","2,194,691,862.44",Financieros,2967084,MX01EL000003,Bolsa Mexicana De Valores,México,MXN,MXN,1
ASURB.MX,GRUPO AEROPORTUARIO DEL SURESTE B,Equity,2.75,363.07,"5,500,537.00","1,997,079,968.59","1,997,079,968.59",Industriales,2639349,MXP001661018,Bolsa Mexicana De Valores,México,MXN,MXN,1
KIMBERA.MX,KIMBERLY-CLARK DE MEXICO CLASS A,Equity,2.06,38.97,"38,402,911.00","1,496,561,441.67","1,496,561,441.67",Productos básicos de consumo,2491914,MXP606941179,Bolsa Mexicana De Valores,México,MXN,MXN,1
BIMBOA.MX,GRUPO BIMBO A,Equity,1.87,33.81,"40,264,846.00","1,361,354,443.26","1,361,354,443.26",Productos básicos de consumo,2392471,MXP495211262,Bolsa Mexicana De Valores,México,MXN,MXN,1
OMAB.MX,GRUPO AEROPORTUARIO DEL CENTRO NOR,Equity,1.85,143.87,"9,356,755.00","1,346,156,341.85","1,346,156,341.85",Industriales,B1KFX13,MX01OM000018,Bolsa Mexicana De Valores,México,MXN,MXN,1
AC.MX,ARCA CONTINENTAL,Equity,1.77,107.01,"11,996,909.00","1,283,789,232.09","1,283,789,232.09",Productos básicos de consumo,2823885,MX01AC100006,Bolsa Mexicana De Valores,México,MXN,MXN,1
GFINBURO.MX,GRUPO FINANCIERO INBURSA SRIES O,Equity,1.76,21.49,"59,441,550.00","1,277,398,909.50","1,277,398,909.50",Financieros,2822398,MXP370641013,Bolsa Mexicana De Valores,México,MXN,MXN,1
IENOVA.MX,INFRAESTRUCTURA ENERGETICA NOVA,Equity,1.73,88.76,"14,143,883.00","1,255,411,055.08","1,255,411,055.08",Servicios,B84XBP2,MX01IE060002,Bolsa Mexicana De Valores,México,MXN,MXN,1
PINFRA.MX,PROMOTORA Y OPERADORA DE INFRAESTR,Equity,1.68,203.86,"5,996,206.00","1,222,386,555.16","1,222,386,555.16",Industriales,2393388,MX01PI000005,Bolsa Mexicana De Valores,México,MXN,MXN,1
GRUMAB.MX,GRUMA,Equity,1.68,200.8,"6,086,372.00","1,222,143,497.60","1,222,143,497.60",Productos básicos de consumo,2392545,MXP4948K1056,Bolsa Mexicana De Valores,México,MXN,MXN,1
ORBIA.MX,ORBIA ADVANCE CORP SA DE CV,Equity,1.67,44.21,"27,416,516.00","1,212,084,172.36","1,212,084,172.36",Materiales,BH3T8K8,MX01OR010004,Bolsa Mexicana De Valores,México,MXN,MXN,1
ALFAA.MX,ALFA A,Equity,1.51,14.14,"77,753,590.00","1,099,435,762.60","1,099,435,762.60",Industriales,2043423,MXP000511016,Bolsa Mexicana De Valores,México,MXN,MXN,1
GCARSOA1.MX,GRUPO CARSO SERIES A1,Equity,1.16,68.13,"12,402,870.00","845,007,533.10","845,007,533.10",Industriales,2393452,MXP461181085,Bolsa Mexicana De Valores,México,MXN,MXN,1
PE&OLES.MX,INDUST PENOLES,Equity,0.91,197.37,"3,351,332.00","661,452,396.84","661,452,396.84",Materiales,2448200,MXP554091415,Bolsa Mexicana De Valores,México,MXN,MXN,1
